Initial packet size,Initial TTL,Window size,DF flag,port,Max Segment Size,Window Scalling Value,sackOK,Target
570,236,128,2,1,49225,0,0,0,windows
571,236,128,2,1,49226,0,0,0,windows
572,603,56,2816,0,49208,0,0,0,windows
573,523,128,64257,1,49208,0,0,0,windows
574,523,128,64257,1,49207,0,0,0,windows
575,475,128,64769,1,49216,0,0,0,windows
576,475,128,65281,1,49214,0,0,0,windows
577,475,128,65281,1,49215,0,0,0,windows
578,523,128,65281,1,49213,0,0,0,windows
579,105,250,2816,0,49216,0,0,0,windows
580,603,249,2816,0,49207,0,0,0,windows
581,475,128,2,1,49208,0,0,0,windows
582,1387,55,2816,0,49214,0,0,0,windows
583,217,249,2816,0,49215,0,0,0,windows
584,161,57,62721,1,49225,0,0,0,windows
585,161,57,62721,1,49226,0,0,0,windows
586,603,55,2816,0,49213,0,0,0,windows
587,54,128,64769,1,49213,0,0,0,windows
588,345,56,2816,0,49208,0,0,0,windows
589,54,128,65281,1,49208,0,0,0,windows
590,539,128,2,1,49225,0,0,0,windows
591,635,57,62721,1,49225,0,0,0,windows
592,54,128,65025,1,49225,0,0,0,windows
593,66,128,32,1,49227,1460,8,1,windows
594,66,128,32,1,49228,1460,8,1,windows
